"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 23, 2019","100.40","100.40","100.41","100.40","12.98K","0.00%"
"Sep 20, 2019","100.40","100.40","100.40","100.39","4.70K","0.00%"
"Sep 19, 2019","100.39","100.40","100.40","100.39","12.56K","-0.01%"
"Sep 18, 2019","100.40","100.40","100.41","100.40","9.76K","0.00%"
"Sep 17, 2019","100.40","100.40","100.40","100.40","6.61K","0.01%"
"Sep 16, 2019","100.39","100.40","100.40","100.40","21.48K","0.00%"
"Sep 13, 2019","100.39","100.41","100.42","100.39","222.64K","-0.02%"
"Sep 12, 2019","100.42","100.46","100.46","100.41","216.60K","-0.04%"
"Sep 11, 2019","100.46","100.46","100.46","100.46","111.53K","0.00%"
"Sep 10, 2019","100.46","100.46","100.47","100.46","77.27K","-0.00%"
"Sep 09, 2019","100.47","100.46","100.47","100.46","76.69K","0.00%"
"Sep 06, 2019","100.46","100.46","100.47","100.46","86.43K","0.00%"
"Sep 05, 2019","100.46","100.48","100.48","100.46","91.54K","-0.01%"
"Sep 04, 2019","100.47","100.48","100.48","100.47","64.42K","-0.00%"
"Sep 03, 2019","100.48","100.49","100.50","100.47","133.31K","-0.01%"
"Sep 02, 2019","100.49","100.49","100.50","100.48","88.66K","0.00%"
"Aug 30, 2019","100.49","100.47","100.50","100.47","111.38K","0.00%"
"Aug 29, 2019","100.48","100.47","100.49","100.46","110.62K","0.00%"
"Aug 28, 2019","100.47","100.47","100.48","100.47","61.73K","0.01%"
"Aug 27, 2019","100.46","100.46","100.47","100.46","41.95K","0.00%"
"Aug 26, 2019","100.46","100.47","100.47","100.46","20.86K","0.00%"
"Aug 23, 2019","100.46","100.46","100.47","100.45","73.22K","0.01%"
"Aug 22, 2019","100.46","100.46","100.46","100.45","104.74K","-0.01%"
"Aug 21, 2019","100.47","100.47","100.47","100.46","50.95K","0.00%"
"Aug 20, 2019","100.47","100.47","100.48","100.47","55.11K","0.05%"
"Aug 19, 2019","100.42","100.42","100.43","100.42","0.77K","0.00%"
"Aug 16, 2019","100.42","100.42","100.42","100.42","11.00K","0.00%"
"Aug 15, 2019","100.42","100.41","100.42","100.40","5.22K","0.01%"
"Aug 14, 2019","100.40","100.41","100.41","100.40","2.23K","-0.00%"
"Aug 13, 2019","100.41","100.41","100.41","100.40","2.66K","0.00%"
"Aug 12, 2019","100.41","100.42","100.42","100.41","2.75K","0.00%"
"Aug 09, 2019","100.42","100.42","100.42","100.42","4.49K","0.00%"
"Aug 08, 2019","100.42","100.42","100.42","100.41","4.92K","0.00%"
"Aug 07, 2019","100.41","100.42","100.42","100.41","3.93K","0.00%"
"Aug 06, 2019","100.42","100.42","100.42","100.41","1.10K","0.00%"
"Aug 05, 2019","100.41","100.40","100.42","100.40","6.34K","0.01%"
"Aug 02, 2019","100.40","100.40","100.40","100.40","1.46K","0.00%"
"Aug 01, 2019","100.40","100.40","100.40","100.39","8.03K","0.00%"
"Jul 31, 2019","100.40","100.39","100.41","100.39","8.54K","0.00%"
"Jul 30, 2019","100.40","100.39","100.40","100.39","2.63K","0.00%"
"Jul 29, 2019","100.39","100.39","100.40","100.39","0.83K","0.00%"
"Jul 26, 2019","100.39","100.39","100.39","100.39","13.97K","-0.00%"
"Jul 25, 2019","100.40","100.43","100.43","100.39","29.01K","-0.02%"
"Jul 24, 2019","100.42","100.42","100.43","100.42","25.00K","0.00%"
"Jul 23, 2019","100.42","100.41","100.42","100.41","10.26K","0.00%"
"Jul 22, 2019","100.41","100.42","100.42","100.41","13.72K","-0.01%"
"Jul 19, 2019","100.42","100.43","100.43","100.42","10.33K","0.00%"
"Jul 18, 2019","100.42","100.43","100.44","100.42","12.21K","-0.00%"
"Jul 17, 2019","100.43","100.43","100.43","100.42","5.97K","0.00%"
"Jul 16, 2019","100.42","100.42","100.43","100.42","9.17K","0.06%"
"Jul 15, 2019","100.36","100.36","100.36","100.36","2.53K","0.00%"
"Jul 12, 2019","100.36","100.36","100.37","100.36","2.81K","-0.00%"
"Jul 11, 2019","100.37","100.37","100.37","100.36","8.17K","0.00%"
"Jul 10, 2019","100.36","100.36","100.36","100.36","7.58K","0.00%"
"Jul 09, 2019","100.36","100.36","100.37","100.36","4.80K","0.00%"
"Jul 08, 2019","100.36","100.37","100.38","100.36","5.13K","-0.00%"
"Jul 05, 2019","100.37","100.36","100.38","100.36","13.61K","0.00%"
"Jul 04, 2019","100.36","100.37","100.37","100.36","1.57K","-0.00%"
"Jul 03, 2019","100.37","100.36","100.38","100.36","5.08K","0.00%"
"Jul 02, 2019","100.37","100.37","100.38","100.36","13.82K","0.00%"
"Jul 01, 2019","100.37","100.36","100.37","100.36","22.34K","0.00%"
"Jun 28, 2019","100.36","100.36","100.36","100.36","14.91K","0.00%"
"Jun 27, 2019","100.36","100.36","100.36","100.36","14.41K","-0.00%"
"Jun 26, 2019","100.37","100.37","100.37","100.36","16.75K","0.00%"
"Jun 25, 2019","100.37","100.37","100.38","100.37","4.53K","0.00%"
"Jun 24, 2019","100.37","100.37","100.38","100.36","7.78K","0.00%"
"Jun 21, 2019","100.37","100.37","100.38","100.36","5.18K","0.00%"
"Jun 20, 2019","100.38","100.39","100.39","100.36","11.18K","0.01%"
"Jun 19, 2019","100.36","100.36","100.38","100.36","7.64K","-0.00%"
"Jun 18, 2019","100.37","100.33","100.39","100.33","26.55K","0.05%"
"Jun 17, 2019","100.32","100.32","100.32","100.32","4.06K","0.00%"
"Jun 14, 2019","100.32","100.32","100.32","100.32","58.80K","0.00%"
"Jun 13, 2019","100.32","100.32","100.32","100.32","19.26K","0.00%"
"Jun 12, 2019","100.32","100.32","100.32","100.32","67.75K","0.00%"
"Jun 11, 2019","100.32","100.32","100.32","100.32","18.44K","0.00%"
"Jun 10, 2019","100.32","100.32","100.32","100.32","93.10K","0.00%"
"Jun 07, 2019","100.32","100.33","100.33","100.32","87.71K","-0.00%"
"Jun 06, 2019","100.33","100.33","100.34","100.32","120.78K","0.00%"
"Jun 05, 2019","100.33","100.33","100.34","100.32","155.48K","0.00%"
"Jun 04, 2019","100.33","100.33","100.33","100.32","53.06K","0.00%"
"Jun 03, 2019","100.33","100.33","100.33","100.32","51.09K","0.00%"
"May 31, 2019","100.33","100.32","100.33","100.32","76.16K","0.00%"
"May 30, 2019","100.32","100.32","100.32","100.32","21.66K","0.00%"
"May 29, 2019","100.32","100.32","100.32","100.32","47.24K","0.00%"
"May 28, 2019","100.32","100.31","100.32","100.31","35.93K","0.00%"
"May 27, 2019","100.32","100.32","100.32","100.31","3.56K","0.00%"
"May 24, 2019","100.32","100.32","100.32","100.31","18.44K","0.00%"
"May 23, 2019","100.32","100.32","100.32","100.31","28.44K","0.00%"
"May 22, 2019","100.32","100.32","100.32","100.32","25.46K","0.00%"
"May 21, 2019","100.32","100.32","100.32","100.32","42.11K","0.00%"
"May 20, 2019","100.32","100.32","100.32","100.32","39.93K","0.00%"
"May 17, 2019","100.32","100.32","100.32","100.32","122.71K","0.00%"
"May 16, 2019","100.32","100.32","100.32","100.32","27.55K","0.00%"
"May 15, 2019","100.32","100.31","100.32","100.31","118.94K","0.00%"
"May 14, 2019","100.32","100.31","100.32","100.31","101.13K","0.00%"
"May 13, 2019","100.31","100.31","100.31","100.31","1.01K","0.00%"
"May 10, 2019","100.31","100.31","100.31","100.31","3.78K","0.00%"
"May 09, 2019","100.31","100.31","100.31","100.31","1.46K","0.00%"
"May 08, 2019","100.31","100.31","100.31","100.31","2.03K","0.00%"
"May 07, 2019","100.31","100.31","100.31","100.31","1.39K","0.00%"
"May 06, 2019","100.31","100.31","100.31","100.31","1.35K","0.00%"
"May 03, 2019","100.31","100.31","100.31","100.31","1.75K","0.00%"
"May 02, 2019","100.31","100.31","100.31","100.31","0.99K","0.00%"
"Apr 30, 2019","100.31","100.31","100.31","100.31","3.40K","0.00%"
"Apr 29, 2019","100.31","100.31","100.32","100.31","4.27K","0.00%"
"Apr 26, 2019","100.31","100.31","100.31","100.31","10.15K","0.00%"
"Apr 25, 2019","100.31","100.31","100.32","100.31","5.22K","0.00%"
"Apr 24, 2019","100.31","100.31","100.32","100.31","2.88K","0.00%"
"Apr 23, 2019","100.31","100.31","100.31","100.31","3.83K","0.00%"
"Apr 19, 2019","100.31","100.31","100.31","100.31","-","0.00%"
"Apr 18, 2019","100.31","100.31","100.32","100.31","1.58K","0.00%"
"Apr 17, 2019","100.31","100.31","100.32","100.31","6.44K","0.00%"
"Apr 16, 2019","100.31","100.31","100.32","100.31","2.72K","0.00%"
"Apr 15, 2019","100.31","100.31","100.31","100.31","1.30K","0.00%"
"Apr 12, 2019","100.31","100.31","100.32","100.31","3.79K","0.00%"
"Apr 11, 2019","100.31","100.31","100.32","100.31","4.27K","0.00%"
"Apr 10, 2019","100.31","100.31","100.31","100.31","15.94K","0.00%"
"Apr 09, 2019","100.31","100.31","100.31","100.31","3.50K","0.00%"
"Apr 08, 2019","100.31","100.31","100.31","100.31","0.42K","0.00%"
"Apr 05, 2019","100.31","100.31","100.31","100.31","4.17K","0.00%"
"Apr 04, 2019","100.31","100.31","100.31","100.31","7.25K","0.00%"
"Apr 03, 2019","100.31","100.31","100.31","100.31","3.96K","0.00%"
"Apr 02, 2019","100.31","100.31","100.31","100.31","4.49K","0.00%"
"Apr 01, 2019","100.31","100.31","100.31","100.31","4.09K","0.00%"
"Mar 29, 2019","100.31","100.31","100.31","100.31","6.01K","0.00%"
"Mar 28, 2019","100.31","100.31","100.32","100.31","14.69K","0.00%"
"Mar 27, 2019","100.31","100.31","100.31","100.31","12.33K","0.00%"
"Mar 26, 2019","100.31","100.31","100.31","100.31","1.39K","0.00%"
"Mar 25, 2019","100.31","100.31","100.31","100.31","1.78K","0.00%"
"Mar 22, 2019","100.31","100.31","100.31","100.31","1.54K","0.00%"
"Mar 21, 2019","100.31","100.31","100.31","100.31","3.80K","0.00%"
"Mar 20, 2019","100.31","100.31","100.31","100.31","4.83K","0.00%"
"Mar 19, 2019","100.31","100.31","100.31","100.31","0.52K","0.00%"
"Mar 18, 2019","100.31","100.31","100.31","100.31","1.47K","0.00%"
"Mar 15, 2019","100.31","100.31","100.31","100.31","62.43K","0.00%"
"Mar 14, 2019","100.31","100.31","100.31","100.31","23.94K","0.00%"
"Mar 13, 2019","100.31","100.31","100.31","100.31","18.65K","0.00%"
"Mar 12, 2019","100.31","100.31","100.31","100.31","26.87K","0.00%"
"Mar 11, 2019","100.31","100.31","100.31","100.31","14.76K","0.00%"
"Mar 08, 2019","100.31","100.31","100.31","100.31","31.29K","0.00%"
"Mar 07, 2019","100.31","100.31","100.31","100.31","51.78K","0.00%"
"Mar 06, 2019","100.31","100.31","100.31","100.31","30.56K","0.00%"
"Mar 05, 2019","100.31","100.31","100.31","100.31","27.01K","0.00%"
"Mar 04, 2019","100.31","100.31","100.31","100.31","12.09K","0.00%"
"Mar 01, 2019","100.31","100.31","100.31","100.31","24.73K","0.00%"
"Feb 28, 2019","100.31","100.31","100.31","100.31","19.13K","0.00%"
"Feb 27, 2019","100.31","100.31","100.31","100.31","19.38K","0.00%"
"Feb 26, 2019","100.31","100.31","100.31","100.31","56.43K","0.00%"
"Feb 25, 2019","100.31","100.31","100.31","100.31","13.88K","0.00%"
"Feb 22, 2019","100.31","100.31","100.31","100.31","28.11K","0.00%"
"Feb 21, 2019","100.31","100.31","100.31","100.30","125.87K","0.00%"
"Feb 20, 2019","100.30","100.30","100.31","100.30","12.36K","0.00%"
"Feb 19, 2019","100.30","100.31","100.31","100.30","35.22K","-0.01%"
"Feb 18, 2019","100.31","100.31","100.31","100.31","0.08K","0.00%"
"Feb 15, 2019","100.31","100.31","100.31","100.31","1.00K","0.00%"
"Feb 14, 2019","100.31","100.31","100.31","100.31","1.31K","0.00%"
"Feb 13, 2019","100.31","100.31","100.31","100.31","0.96K","0.00%"
"Feb 12, 2019","100.31","100.31","100.31","100.31","3.66K","0.00%"
"Feb 11, 2019","100.31","100.31","100.31","100.31","0.34K","0.00%"
"Feb 08, 2019","100.31","100.31","100.31","100.31","0.35K","0.00%"
"Feb 07, 2019","100.31","100.31","100.31","100.31","0.84K","0.00%"
"Feb 06, 2019","100.31","100.31","100.31","100.31","3.68K","0.00%"
"Feb 05, 2019","100.31","100.31","100.31","100.31","2.80K","0.00%"
"Feb 04, 2019","100.31","100.31","100.31","100.31","13.55K","0.00%"
"Feb 01, 2019","100.31","100.31","100.31","100.31","1.42K","0.00%"
"Jan 31, 2019","100.31","100.31","100.31","100.31","6.35K","0.00%"
"Jan 30, 2019","100.31","100.31","100.31","100.30","10.57K","0.00%"
"Jan 29, 2019","100.31","100.31","100.31","100.30","2.96K","0.00%"
"Jan 28, 2019","100.31","100.31","100.31","100.30","1.80K","0.00%"
"Jan 25, 2019","100.31","100.31","100.31","100.30","9.67K","0.00%"
"Jan 24, 2019","100.31","100.30","100.31","100.30","2.78K","0.00%"
"Jan 23, 2019","100.31","100.31","100.31","100.31","5.46K","0.00%"
"Jan 22, 2019","100.31","100.31","100.31","100.30","4.49K","0.00%"
"Jan 21, 2019","100.31","100.31","100.31","100.30","1.16K","0.00%"
"Jan 18, 2019","100.31","100.31","100.31","100.31","2.88K","0.00%"
"Jan 17, 2019","100.31","100.31","100.31","100.31","4.98K","0.00%"
"Jan 16, 2019","100.31","100.31","100.31","100.31","11.28K","0.00%"
"Jan 15, 2019","100.31","100.31","100.31","100.30","11.18K","0.00%"
"Jan 14, 2019","100.31","100.31","100.31","100.31","1.61K","0.00%"
"Jan 11, 2019","100.31","100.31","100.31","100.31","1.42K","0.00%"
"Jan 10, 2019","100.31","100.31","100.31","100.31","0.55K","0.00%"
"Jan 09, 2019","100.31","100.31","100.31","100.31","0.23K","0.00%"
"Jan 08, 2019","100.31","100.31","100.31","100.31","11.80K","0.00%"
"Jan 07, 2019","100.31","100.31","100.31","100.31","2.99K","0.00%"
"Jan 04, 2019","100.31","100.31","100.31","100.31","4.94K","0.00%"
"Jan 03, 2019","100.31","100.31","100.31","100.31","5.42K","0.00%"
"Jan 02, 2019","100.31","100.31","100.31","100.30","6.08K","0.00%"
"Dec 31, 2018","100.31","100.31","100.31","100.30","0.53K","0.00%"
"Dec 28, 2018","100.30","100.31","100.31","100.30","1.87K","0.00%"
"Dec 27, 2018","100.30","100.30","100.30","100.30","0.75K","0.00%"
"Dec 24, 2018","100.30","100.30","100.30","100.29","1.54K","0.00%"
"Dec 21, 2018","100.31","100.30","100.31","100.30","11.84K","0.00%"
"Dec 20, 2018","100.30","100.30","100.31","100.30","27.63K","0.00%"
"Dec 19, 2018","100.30","100.31","100.31","100.29","21.61K","0.00%"
"Dec 18, 2018","100.31","100.30","100.31","100.30","1.09K","-0.01%"
"Dec 17, 2018","100.31","100.31","100.32","100.31","12.53K","0.00%"
"Dec 14, 2018","100.31","100.31","100.31","100.31","72.48K","0.00%"
"Dec 13, 2018","100.31","100.31","100.31","100.31","47.95K","0.00%"
"Dec 12, 2018","100.31","100.31","100.31","100.31","42.08K","0.00%"
"Dec 11, 2018","100.31","100.31","100.32","100.31","123.41K","-0.00%"
"Dec 10, 2018","100.32","100.31","100.32","100.31","35.60K","0.00%"
"Dec 07, 2018","100.32","100.31","100.32","100.31","28.86K","0.00%"
"Dec 06, 2018","100.31","100.31","100.32","100.31","55.36K","0.00%"
"Dec 05, 2018","100.31","100.31","100.32","100.31","47.96K","-0.00%"
"Dec 04, 2018","100.32","100.32","100.32","100.31","62.01K","0.00%"
"Dec 03, 2018","100.32","100.32","100.32","100.31","21.87K","0.00%"
"Nov 30, 2018","100.32","100.31","100.32","100.31","31.01K","0.00%"
"Nov 29, 2018","100.31","100.32","100.32","100.31","39.80K","0.00%"
"Nov 28, 2018","100.31","100.31","100.32","100.31","28.41K","0.00%"
"Nov 27, 2018","100.31","100.31","100.32","100.31","45.98K","0.00%"
"Nov 26, 2018","100.31","100.31","100.32","100.31","38.51K","0.00%"
"Nov 23, 2018","100.31","100.31","100.32","100.31","92.88K","0.00%"
"Nov 22, 2018","100.31","100.31","100.31","100.31","19.17K","0.00%"
"Nov 21, 2018","100.31","100.31","100.31","100.31","17.19K","0.00%"
"Nov 20, 2018","100.31","100.31","100.31","100.31","25.01K","-0.01%"
"Nov 19, 2018","100.32","100.32","100.32","100.32","0.95K","0.00%"
"Nov 16, 2018","100.32","100.32","100.32","100.32","5.24K","0.00%"
"Nov 15, 2018","100.32","100.32","100.32","100.31","17.94K","0.00%"
"Nov 14, 2018","100.32","100.32","100.32","100.31","2.21K","0.00%"
"Nov 13, 2018","100.32","100.32","100.32","100.31","1.20K","0.00%"
"Nov 12, 2018","100.32","100.32","100.32","100.31","2.27K","0.00%"
"Nov 09, 2018","100.32","100.32","100.32","100.31","1.44K","0.00%"
"Nov 08, 2018","100.32","100.32","100.32","100.31","1.22K","0.00%"
"Nov 07, 2018","100.32","100.32","100.32","100.32","3.11K","0.00%"
"Nov 06, 2018","100.32","100.32","100.32","100.32","6.30K","0.00%"
"Nov 05, 2018","100.32","100.32","100.32","100.32","0.43K","0.00%"
"Nov 02, 2018","100.32","100.32","100.32","100.32","13.39K","0.00%"
"Nov 01, 2018","100.32","100.32","100.32","100.32","13.86K","0.00%"
"Oct 31, 2018","100.32","100.32","100.32","100.31","10.58K","0.00%"
"Oct 30, 2018","100.32","100.32","100.32","100.32","3.45K","0.00%"
"Oct 29, 2018","100.32","100.32","100.32","100.31","0.10K","0.00%"
"Oct 26, 2018","100.31","100.31","100.32","100.31","7.06K","0.00%"
"Oct 25, 2018","100.31","100.31","100.31","100.31","10.70K","0.00%"
"Oct 24, 2018","100.31","100.31","100.31","100.31","7.75K","0.00%"
"Oct 23, 2018","100.31","100.31","100.32","100.31","10.06K","0.00%"
"Oct 22, 2018","100.31","100.31","100.31","100.31","4.24K","0.00%"
"Oct 19, 2018","100.31","100.31","100.32","100.31","18.01K","-0.00%"
"Oct 18, 2018","100.32","100.32","100.32","100.31","11.73K","0.00%"
"Oct 17, 2018","100.32","100.32","100.32","100.31","7.07K","0.00%"
"Oct 16, 2018","100.32","100.31","100.32","100.31","1.12K","0.00%"
"Oct 15, 2018","100.32","100.32","100.32","100.32","1.04K","0.00%"
"Oct 12, 2018","100.32","100.32","100.32","100.32","1.68K","0.00%"
"Oct 11, 2018","100.32","100.32","100.32","100.32","1.07K","0.00%"
"Oct 10, 2018","100.32","100.32","100.32","100.32","22.52K","0.00%"
"Oct 09, 2018","100.32","100.32","100.32","100.32","1.49K","0.00%"
"Oct 08, 2018","100.32","100.32","100.32","100.32","4.12K","0.00%"
"Oct 05, 2018","100.32","100.32","100.32","100.32","25.27K","0.00%"
"Oct 04, 2018","100.32","100.32","100.32","100.32","18.57K","0.00%"
"Oct 03, 2018","100.32","100.32","100.32","100.32","2.49K","0.00%"
"Oct 02, 2018","100.32","100.31","100.32","100.31","11.96K","0.00%"
"Oct 01, 2018","100.32","100.32","100.32","100.31","9.86K","0.00%"
"Sep 28, 2018","100.32","100.32","100.32","100.32","22.30K","0.00%"
"Sep 27, 2018","100.32","100.32","100.32","100.31","13.13K","0.00%"
"Sep 26, 2018","100.32","100.32","100.32","100.32","12.35K","0.00%"
"Sep 25, 2018","100.32","100.32","100.32","100.32","12.02K","0.00%"
"Sep 24, 2018","100.32","100.32","100.32","100.31","1.45K","0.00%"
"Sep 21, 2018","100.32","100.31","100.32","100.31","2.83K","0.00%"
"Sep 20, 2018","100.32","100.31","100.32","100.31","1.14K","0.00%"
"Sep 19, 2018","100.32","100.32","100.32","100.31","2.45K","0.00%"
"Sep 18, 2018","100.32","100.32","100.32","100.31","1.62K","0.00%"
"Sep 17, 2018","100.32","100.32","100.32","100.32","2.32K","0.00%"
"Sep 14, 2018","100.32","100.32","100.32","100.32","49.87K","0.00%"
"Sep 13, 2018","100.32","100.32","100.32","100.32","20.50K","0.00%"
"Sep 12, 2018","100.32","100.32","100.32","100.32","25.65K","0.00%"
"Sep 11, 2018","100.32","100.32","100.32","100.32","32.49K","0.00%"
"Sep 10, 2018","100.32","100.32","100.32","100.32","18.96K","0.00%"
"Sep 07, 2018","100.32","100.32","100.32","100.32","21.23K","0.00%"
"Sep 06, 2018","100.32","100.32","100.32","100.32","25.62K","0.00%"
"Sep 05, 2018","100.32","100.32","100.32","100.32","20.29K","0.00%"
"Sep 04, 2018","100.32","100.32","100.32","100.32","33.56K","0.00%"
"Sep 03, 2018","100.32","100.32","100.32","100.31","40.39K","0.00%"
"Aug 31, 2018","100.32","100.31","100.32","100.31","24.30K","0.00%"
"Aug 30, 2018","100.32","100.32","100.32","100.31","41.64K","0.00%"
"Aug 29, 2018","100.32","100.32","100.32","100.31","53.91K","0.00%"
"Aug 28, 2018","100.32","100.31","100.32","100.31","32.54K","0.00%"
"Aug 27, 2018","100.32","100.32","100.32","100.31","14.11K","0.00%"
"Aug 24, 2018","100.32","100.32","100.32","100.31","26.50K","0.00%"
"Aug 23, 2018","100.32","100.32","100.32","100.31","50.57K","0.00%"
"Aug 22, 2018","100.32","100.31","100.32","100.31","60.66K","0.00%"
"Aug 21, 2018","100.31","100.31","100.32","100.31","69.11K","-0.00%"
"Aug 20, 2018","100.32","100.32","100.32","100.31","24.47K","0.00%"
"Aug 17, 2018","100.32","100.32","100.32","100.31","23.74K","0.00%"
"Aug 16, 2018","100.32","100.32","100.32","100.31","20.45K","0.00%"
"Aug 15, 2018","100.31","100.31","100.32","100.31","68.41K","0.00%"
"Aug 14, 2018","100.31","100.31","100.32","100.31","55.23K","-0.01%"
"Aug 13, 2018","100.32","100.32","100.32","100.32","0.03K","0.00%"
"Aug 10, 2018","100.32","100.32","100.32","100.32","2.77K","0.00%"
"Aug 09, 2018","100.32","100.32","100.32","100.32","1.46K","0.00%"
"Aug 08, 2018","100.32","100.32","100.32","100.32","1.01K","0.00%"
"Aug 07, 2018","100.32","100.32","100.32","100.32","1.01K","0.00%"
"Aug 06, 2018","100.32","100.32","100.32","100.32","1.31K","0.00%"
"Aug 03, 2018","100.32","100.32","100.32","100.32","3.97K","0.00%"
"Aug 02, 2018","100.32","100.32","100.32","100.32","2.19K","0.00%"
"Aug 01, 2018","100.32","100.32","100.32","100.32","5.99K","0.00%"
"Jul 31, 2018","100.32","100.32","100.32","100.32","6.31K","0.00%"
"Jul 30, 2018","100.32","100.32","100.32","100.32","5.42K","0.00%"
"Jul 27, 2018","100.32","100.32","100.32","100.32","0.62K","0.00%"
"Jul 26, 2018","100.32","100.32","100.32","100.32","1.90K","0.00%"
"Jul 25, 2018","100.32","100.32","100.32","100.32","9.42K","0.00%"
"Jul 24, 2018","100.32","100.32","100.32","100.32","5.16K","0.00%"
"Jul 23, 2018","100.32","100.32","100.32","100.32","2.88K","0.00%"
"Jul 20, 2018","100.32","100.32","100.32","100.32","0.78K","0.00%"
"Jul 19, 2018","100.32","100.32","100.32","100.32","3.54K","0.00%"
"Jul 18, 2018","100.32","100.32","100.32","100.32","2.55K","0.00%"
"Jul 17, 2018","100.32","100.32","100.32","100.32","2.34K","0.00%"
"Jul 16, 2018","100.32","100.32","100.32","100.32","0.93K","0.00%"
"Jul 13, 2018","100.32","100.32","100.32","100.32","2.66K","0.00%"
"Jul 12, 2018","100.32","100.32","100.32","100.32","0.65K","0.00%"
"Jul 11, 2018","100.32","100.32","100.32","100.32","3.17K","0.00%"
"Jul 10, 2018","100.32","100.32","100.32","100.32","1.36K","0.00%"
"Jul 09, 2018","100.32","100.32","100.32","100.32","1.82K","0.00%"
"Jul 06, 2018","100.32","100.32","100.32","100.32","3.01K","0.00%"
"Jul 05, 2018","100.32","100.32","100.32","100.32","1.26K","0.00%"
"Jul 04, 2018","100.32","100.32","100.32","100.32","0.25K","0.00%"
"Jul 03, 2018","100.32","100.32","100.32","100.32","3.55K","0.00%"
"Jul 02, 2018","100.32","100.32","100.32","100.32","7.53K","0.00%"
"Jun 29, 2018","100.32","100.32","100.32","100.32","16.11K","0.00%"
"Jun 28, 2018","100.32","100.32","100.32","100.32","5.10K","0.00%"
"Jun 27, 2018","100.32","100.32","100.32","100.32","0.89K","0.00%"
"Jun 26, 2018","100.32","100.32","100.32","100.32","12.73K","0.00%"
"Jun 25, 2018","100.32","100.32","100.32","100.32","5.67K","0.00%"
"Jun 22, 2018","100.32","100.32","100.32","100.31","22.49K","0.00%"
"Jun 21, 2018","100.32","100.32","100.32","100.32","9.60K","0.00%"
"Jun 20, 2018","100.32","100.32","100.32","100.32","1.04K","0.00%"
"Jun 19, 2018","100.32","100.32","100.32","100.32","4.63K","0.00%"
"Jun 18, 2018","100.32","100.32","100.32","100.32","5.63K","0.00%"
"Jun 15, 2018","100.32","100.32","100.32","100.32","67.21K","0.00%"
"Jun 14, 2018","100.32","100.32","100.32","100.32","87.22K","0.00%"
"Jun 13, 2018","100.32","100.32","100.32","100.32","36.98K","0.00%"
"Jun 12, 2018","100.32","100.32","100.32","100.32","31.52K","0.00%"
"Jun 11, 2018","100.32","100.32","100.32","100.32","37.14K","0.00%"
"Jun 08, 2018","100.32","100.32","100.32","100.32","129.45K","0.00%"
"Jun 07, 2018","100.32","100.32","100.32","100.32","43.54K","0.00%"
"Jun 06, 2018","100.32","100.32","100.32","100.32","44.40K","0.00%"
"Jun 05, 2018","100.32","100.32","100.32","100.32","147.17K","0.00%"
"Jun 04, 2018","100.32","100.32","100.32","100.32","39.32K","0.00%"
"Jun 01, 2018","100.32","100.32","100.32","100.32","42.84K","0.00%"
"May 31, 2018","100.32","100.32","100.32","100.31","116.49K","0.01%"
"May 30, 2018","100.31","100.29","100.32","100.29","96.44K","0.00%"
"May 29, 2018","100.31","100.31","100.31","100.29","223.26K","0.00%"
"May 28, 2018","100.31","100.31","100.32","100.31","89.35K","0.00%"
"May 25, 2018","100.31","100.32","100.32","100.31","221.24K","-0.00%"
"May 24, 2018","100.32","100.32","100.32","100.31","47.19K","0.00%"
"May 23, 2018","100.32","100.32","100.32","100.31","150.12K","0.00%"
"May 22, 2018","100.32","100.32","100.32","100.32","28.37K","0.00%"
"May 21, 2018","100.32","100.32","100.32","100.32","42.13K","0.00%"
"May 18, 2018","100.32","100.32","100.32","100.32","28.90K","0.00%"
"May 17, 2018","100.32","100.32","100.32","100.32","28.62K","0.00%"
"May 16, 2018","100.32","100.32","100.32","100.32","69.27K","0.00%"
"May 15, 2018","100.32","100.32","100.32","100.32","107.66K","-0.01%"
"May 14, 2018","100.33","100.33","100.33","100.32","0.07K","0.00%"
"May 11, 2018","100.33","100.32","100.33","100.32","11.96K","0.00%"
"May 10, 2018","100.32","100.32","100.33","100.32","32.79K","-0.00%"
"May 09, 2018","100.33","100.33","100.33","100.32","5.50K","0.00%"
"May 08, 2018","100.33","100.33","100.33","100.33","0.78K","0.00%"
"May 07, 2018","100.33","100.33","100.33","100.32","1.34K","0.00%"
"May 04, 2018","100.33","100.32","100.33","100.32","2.65K","0.00%"
"May 03, 2018","100.32","100.33","100.33","100.32","4.52K","-0.00%"
"May 02, 2018","100.33","100.32","100.33","100.32","4.77K","0.00%"
"Apr 30, 2018","100.33","100.33","100.33","100.32","1.39K","0.00%"
"Apr 27, 2018","100.33","100.32","100.33","100.32","2.20K","0.00%"
"Apr 26, 2018","100.32","100.33","100.33","100.32","1.30K","0.00%"
"Apr 25, 2018","100.32","100.33","100.33","100.32","1.85K","-0.00%"
"Apr 24, 2018","100.33","100.32","100.33","100.32","1.23K","0.00%"
"Apr 23, 2018","100.32","100.32","100.33","100.32","1.78K","0.00%"
"Apr 20, 2018","100.32","100.32","100.33","100.32","9.13K","0.00%"
"Apr 19, 2018","100.32","100.32","100.32","100.32","2.35K","0.00%"
"Apr 18, 2018","100.32","100.32","100.33","100.32","1.59K","0.00%"
"Apr 17, 2018","100.32","100.32","100.33","100.32","3.55K","0.00%"
